templates,used_attributes
"VIS-TEAM-PLACE , which dealt Arron Afflalo to Portland at the deadline , managed just VIS-TEAM-FG_PCT percent shooting and had only HOME-STREAK-COUNT players make more than half of only HOME-STREAK-COUNT players field goal attempts . ","['VIS-TEAM-PLACE', 'VIS-TEAM-FG_PCT', 'HOME-STREAK-COUNT', 'HOME-STREAK-COUNT']"
"As a team , The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) shot VIS-TEAM-FG_PCT percent from the field , VIS-TEAM-FG3_PCT percent from 3 , and VIS-TEAM-FT_PCT percent from the free - throw line . ","['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'VIS-TEAM-PTS_QTR1', 'VIS-TEAM-LOSSES', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-FG3_PCT', 'HOME-TEAM-FT_PCT', 'VIS-TEAM-FT_PCT']"
the VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) in HOME-TEAM-PLACE shot VIS-TEAM-FG_PCT percent from the field and VIS-TEAM-FG3_PCT percent from 3 but were out - rebounded HOME-TEAM-REB - VIS-TEAM-REB . ,"['VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'VIS-TEAM-FG_PCT', 'HOME-TEAM-FG_PCT', 'VIS-TEAM-FG3_PCT', 'HOME-TEAM-REB', 'VIS-TEAM-REB']"
HOME-TEAM-PLACE shot HOME-TEAM-FG_PCT percent from the field and knocked down HOME-TEAM-FG3M threes . ,"['HOME-TEAM-PLACE', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3M']"
"The VIS-TEAM-NAME shot VIS-TEAM-FG_PCT percent from the field and attempted only HOME-TEAM-LOSSES 3 - ponters , hitting HOME-STREAK-COUNT . ","['VIS-TEAM-NAME', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-FG3A', 'HOME-TEAM-LOSSES', 'VIS-TEAM-FG3M', 'HOME-STREAK-COUNT']"
"The VIS-TEAM-NAME out - rebounded HOME-TEAM-PLACE VIS-TEAM-REB - HOME-TEAM-REB but committed HOME-TEAM-WINS turnovers , compared to the HOME-TEAM-NAME ’ HOME-TEAM-TOV . ","['VIS-TEAM-NAME', 'HOME-TEAM-PLACE', 'VIS-TEAM-REB', 'HOME-TEAM-REB', 'VIS-TEAM-TOV', 'HOME-TEAM-WINS', 'HOME-TEAM-NAME', 'HOME-TEAM-TOV']"
the VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) saw a seemingly comfortable VIS-TEAM-STANDING - point lead in the 3 quarter evaporate as The HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) stormed back to take a seemingly comfortable VIS-TEAM-STANDING - point lead in the 3 quarter just before the HOME-TEAM-STANDING quarter began . ,"['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'HOME-TEAM-PTS_QTR2', 'VIS-TEAM-LOSSES', 'VIS-TEAM-TOV', 'VIS-TEAM-STANDING', 'HOME-TEAM-NAME', 'VIS-TEAM-PTS_QTR1', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-TOV', 'VIS-TEAM-STANDING', 'HOME-TEAM-STANDING']"
the VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) HOME-TEAM-PTS - HOME-TEAM-FT_PCT in at the United_Center were held to just VIS-TEAM-FG_PCT % shooting from the floor . ,"['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'HOME-TEAM-PTS_QTR4', 'VIS-TEAM-WINS', 'VIS-TEAM-AST', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PTS', 'VIS-TEAM-PTS', 'VIS-TEAM-FGA', 'HOME-TEAM-FT_PCT', 'VIS-TEAM-FG_PCT']"
The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) came out with aggressiveness on both ends of the floor and were able to out - rebound the VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) HOME-TEAM-PTS - HOME-TEAM-FT_PCT in at the United_Center the VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) HOME-TEAM-PTS - HOME-TEAM-FT_PCT in at the United_Center despite missing Joakim Noah . ,"['HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'HOME-TEAM-PTS_QTR4', 'VIS-TEAM-WINS', 'VIS-TEAM-AST', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PTS', 'VIS-TEAM-PTS', 'VIS-TEAM-FGA', 'HOME-TEAM-FT_PCT', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'HOME-TEAM-PTS_QTR4', 'VIS-TEAM-WINS', 'VIS-TEAM-AST', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PTS', 'VIS-TEAM-PTS', 'VIS-TEAM-FGA', 'HOME-TEAM-FT_PCT']"
VIS-TEAM-PLACE have won VIS-STREAK-COUNT straight games and are 6 - HOME-TEAM-STANDING since Blake Griffin started sitting out games following surgery to remove an infection in Blake Griffin elbow . ,"['VIS-TEAM-PLACE', 'HOME-STREAK-COUNT', 'VIS-STREAK-COUNT', 'HOME-TEAM-STANDING']"
"HOME-TEAM-PLACE were playing without Derrick Rose ( knee ) and Taj Gibson ( ankle ) on Sunday , and without Derrick Rose to initiate the offense , the team struggled , shooting HOME-TEAM-FG_PCT percent from the field . ","['HOME-TEAM-PLACE', 'HOME-TEAM-FG_PCT']"
The HOME-TEAM-NAME shot VIS-TEAM-FG_PCT percent from the field and had HOME-TEAM-TOV turnovers to just HOME-TEAM-AST assists . ,"['HOME-TEAM-NAME', 'HOME-TEAM-FG_PCT', 'VIS-TEAM-FG_PCT', 'HOME-TEAM-TOV', 'HOME-TEAM-AST']"
"The loss moves VIS-TEAM-PLACE out of the current playoff race in the East , as the Celtics own the tie breaker over the Celtics . ",['VIS-TEAM-PLACE']
"The HOME-TEAM-PLACE HOME-TEAM-NAME ( VIS-TEAM-FTA - HOME-TEAM-LOSSES ) shot HOME-TEAM-FG_PCT percent from the field and HOME-TEAM-FG3_PCT percent from the VIS-TEAM-STANDING - point line , while the VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - HOME-TEAM-STANDING ) shot only VIS-TEAM-FG_PCT percent from the field and a meager VIS-STREAK-COUNT percent from beyond the arc . ","['HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'VIS-TEAM-FTA', 'HOME-TEAM-FTA', 'HOME-TEAM-LOSSES', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3_PCT', 'VIS-TEAM-STANDING', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-PTS_QTR4', 'VIS-TEAM-WINS', 'HOME-TEAM-STANDING', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-FG3_PCT', 'HOME-TEAM-FTM', 'VIS-TEAM-LOSSES', 'VIS-STREAK-COUNT']"
"This was Kevin Love 2 straight game struggling to score , so Kevin Love 'll look to get things turned around as soon as possible . ",[]
The VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) handled the LeBron-less HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) scorched the nets to the tune of VIS-TEAM-FG_PCT percent shooting and converted HOME-TEAM-TOV - of - HOME-TEAM-AST 3 - point field goals . ,"['VIS-TEAM-NAME', 'HOME-TEAM-PTS_QTR1', 'HOME-TEAM-FG3A', 'VIS-TEAM-WINS', 'VIS-TEAM-TOV', 'VIS-TEAM-LOSSES', 'HOME-TEAM-NAME', 'HOME-TEAM-PTS_QTR4', 'HOME-TEAM-WINS', 'HOME-TEAM-LOSSES', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-FG3M', 'HOME-TEAM-FTM', 'HOME-TEAM-TOV', 'VIS-TEAM-FG3A', 'HOME-TEAM-AST']"
HOME-TEAM-PLACE shot just HOME-TEAM-FG_PCT percent from the field and converted HOME-TEAM-FG3M - of - VIS-TEAM-WINS 3 - pointers . ,"['HOME-TEAM-PLACE', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3M', 'HOME-TEAM-PTS_QTR1', 'HOME-TEAM-FG3A', 'VIS-TEAM-WINS']"
"That set the tone for the rest of this game , as The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) defeated the VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) HOME-TEAM-PTS - VIS-TEAM-PTS on Wednesday at Quicken_Loans_Arena in HOME-TEAM-PLACE went on to secure the VIS-TEAM-WINS - point victory in front of The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) defeated the VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) HOME-TEAM-PTS - VIS-TEAM-PTS on Wednesday at Quicken_Loans_Arena in HOME-TEAM-PLACE home crowd , notching The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) defeated the VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) HOME-TEAM-PTS - VIS-TEAM-PTS on Wednesday at Quicken_Loans_Arena in HOME-TEAM-PLACE 3 straight victory in the process . ","['HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'VIS-TEAM-PTS_QTR1', 'VIS-TEAM-PTS_QTR2', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-FTM', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PTS', 'VIS-TEAM-PTS', 'HOME-TEAM-PLACE', 'VIS-TEAM-FTM', 'VIS-TEAM-WINS', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'VIS-TEAM-PTS_QTR1', 'VIS-TEAM-PTS_QTR2', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-FTM', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PTS', 'VIS-TEAM-PTS', 'HOME-TEAM-PLACE', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'VIS-TEAM-PTS_QTR1', 'VIS-TEAM-PTS_QTR2', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-FTM', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PTS', 'VIS-TEAM-PTS', 'HOME-TEAM-PLACE']"
"The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) shot really well in this game , going HOME-TEAM-FG_PCT percent from the field and HOME-TEAM-FG3_PCT percent from the 3 - point line , while having 7 players reach double figures in points . ","['HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'VIS-TEAM-PTS_QTR1', 'VIS-TEAM-PTS_QTR3', 'HOME-TEAM-LOSSES', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3_PCT']"
"The HOME-TEAM-PLACE HOME-TEAM-NAME ( 10 ) The HOME-TEAM-PLACE HOME-TEAM-NAME ( 10 ) finished the game shooting HOME-TEAM-FG_PCT percent from the field and HOME-TEAM-FG3_PCT percent from behind the 3 - point line , while the VIS-TEAM-NAME shot VIS-TEAM-FG_PCT percent from the field and VIS-TEAM-FG3_PCT percent from behind the arc . ","['HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3_PCT', 'VIS-TEAM-NAME', 'HOME-TEAM-FGM', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-FG3_PCT']"
HOME-TEAM-PLACE was able to overcome a HOME-TEAM-FG3_PCT percent shooting performance on the night as The HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) got several great 4 quarter showings . ,"['HOME-TEAM-PLACE', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3_PCT', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-FTA', 'HOME-TEAM-WINS', 'HOME-TEAM-FG3A', 'HOME-TEAM-LOSSES']"
"Gordon Hayward hit the go - ahead shot with 1 VIS-STREAK-COUNT remaining , but HOME-TEAM-PLACE would have the 15 laugh . ","['HOME-STREAK-COUNT', 'VIS-STREAK-COUNT', 'HOME-TEAM-PLACE']"
"The wins gives The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) VIS-STREAK-COUNT in a row , but the team still remains far on the outside looking into the Eastern_Conference playoff race , sitting 5 games behind the HOME-TEAM-NAME for the HOME-TEAM-FG3M and final playoff spot . ","['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-PTS_QTR1', 'VIS-TEAM-FG3A', 'VIS-TEAM-WINS', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-LOSSES', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-PTS_QTR1', 'VIS-TEAM-FG3A', 'VIS-TEAM-WINS', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-LOSSES', 'HOME-STREAK-COUNT', 'VIS-STREAK-COUNT', 'HOME-TEAM-NAME', 'HOME-TEAM-FG3M']"
"The VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) shot VIS-TEAM-WINS percent from 3 - point range , while the HOME-TEAM-NAME shot HOME-TEAM-FG3_PCT percent . ","['VIS-TEAM-NAME', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-WINS', 'HOME-TEAM-NAME', 'HOME-TEAM-FG3_PCT']"
"The VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) The VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) went to the line almost twice as much as the HOME-TEAM-NAME , attempting HOME-TEAM-REB free throws compared to HOME-TEAM-PLACE ’ s HOME-TEAM-FTA . ","['VIS-TEAM-NAME', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'VIS-TEAM-NAME', 'VIS-TEAM-FG_PCT', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'HOME-TEAM-NAME', 'VIS-TEAM-FTA', 'HOME-TEAM-REB', 'HOME-TEAM-PLACE', 'HOME-TEAM-FTA']"
The VIS-TEAM-NAME are 5 in the Western_Conference and have clinched a playoff birth . ,['VIS-TEAM-NAME']
"The VIS-TEAM-NAME shot VIS-TEAM-FG_PCT percent from the field , while The HOME-TEAM-PLACE HOME-TEAM-NAME ( VIS-TEAM-LOSSES - HOME-TEAM-LOSSES ) defeated the VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-LOSSES - VIS-TEAM-LOSSES ) HOME-TEAM-PTS - VIS-TEAM-PTS on Saturday converted HOME-TEAM-FG_PCT percent of The VIS-TEAM-NAME shots , a statistic that tells the game story simply . ","['VIS-TEAM-NAME', 'VIS-TEAM-FGM', 'VIS-TEAM-FG_PCT', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'HOME-TEAM-WINS', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'HOME-TEAM-WINS', 'VIS-TEAM-WINS', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PTS', 'VIS-TEAM-PTS', 'HOME-TEAM-FG_PCT', 'VIS-TEAM-NAME']"
VIS-TEAM-PLACE shot just VIS-TEAM-FG_PCT percent as a team and was out - rebounded HOME-TEAM-REB - VIS-TEAM-REB . ,"['VIS-TEAM-PLACE', 'VIS-TEAM-FG_PCT', 'HOME-TEAM-REB', 'VIS-TEAM-REB']"
"As a team , The HOME-TEAM-PLACE HOME-TEAM-NAME shot HOME-TEAM-FG_PCT percent from the field and HOME-TEAM-FG3_PCT percent from beyond the 3 - point line . ","['HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-FG_PCT', 'HOME-TEAM-FG3_PCT']"
"The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) defeated the HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) VIS-TEAM-PTS - HOME-TEAM-PTS on Sunday at the Staples_Center in HOME-TEAM-PLACE got it done on the defensive side of the ball in the 2 half , allowing The VIS-TEAM-PLACE VIS-TEAM-NAME ( VIS-TEAM-WINS - VIS-TEAM-LOSSES ) defeated the HOME-TEAM-PLACE HOME-TEAM-NAME ( HOME-TEAM-WINS - HOME-TEAM-LOSSES ) VIS-TEAM-PTS - HOME-TEAM-PTS on Sunday at the Staples_Center in HOME-TEAM-PLACE to secure the road win . ","['VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'VIS-TEAM-FG3A', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'HOME-TEAM-FTM', 'HOME-TEAM-TOV', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PTS', 'HOME-TEAM-PTS', 'HOME-TEAM-PLACE', 'VIS-TEAM-PLACE', 'VIS-TEAM-NAME', 'VIS-TEAM-WINS', 'VIS-TEAM-FG3A', 'VIS-TEAM-LOSSES', 'HOME-TEAM-PLACE', 'HOME-TEAM-NAME', 'HOME-TEAM-WINS', 'HOME-TEAM-FTM', 'HOME-TEAM-TOV', 'HOME-TEAM-LOSSES', 'VIS-TEAM-PTS', 'HOME-TEAM-PTS', 'HOME-TEAM-PLACE']"
