templates,used_attributes
TEAM-PLACE takes the court again on NEXT-DAYNAME against NEXT-OPPONENT-TEAM-PLACE . ,"['TEAM-PLACE', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM-PLACE']"
"The the TEAM-NAME ' and the TEAM-NAME split The TEAM-NAME and TEAM-NAME season series 1 - 1 , with the TEAM-NAME the TEAM-NAME having taken The TEAM-NAME and TEAM-NAME 1 matchup 105 - 89 back on Nov. TEAM-PTS_QTR2 . ","['TEAM-NAME', 'TEAM-NAME', 'TEAM-NAME', 'TEAM-NAME', 'TEAM-NAME', 'TEAM-NAME', 'TEAM-NAME', 'TEAM-NAME', 'TEAM-PTS_QTR2']"
The TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-WINS ) will get a few days off before heading to NEXT-CITY to take on the NEXT-OPPONENT-TEAM on NEXT-DAYNAME night . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-WINS', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
"Up next , TEAM-PLACE travels to NEXT-CITY to take on the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ","['TEAM-PLACE', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
the TEAM-PLACE TEAM-NAME ( TEAM-PTS_QTR4 - TEAM-LOSSES ) will look to bounce back NEXT-DAYNAME in NEXT-CITY . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-PTS_QTR4', 'TEAM-LOSSES', 'NEXT-DAYNAME', 'NEXT-CITY']"
TEAM-PLACE will host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME before embarking on a 7 - game roadtrip . ,"['TEAM-PLACE', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
"Up next , the TEAM-NAME play host to the winless NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ","['TEAM-NAME', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME 'll stay home to host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-NAME were led by LEADER_FIRST_NAME LEADER_SECOND_NAME in this game . ,"['TEAM-NAME', 'LEADER_FIRST_NAME', 'LEADER_SECOND_NAME']"
the TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-FG3A ) will look to shake LEADER_FIRST_NAME LEADER_SECOND_NAME off NEXT-DAYNAME in NEXT-OPPONENT-TEAM-PLACE . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-FG3A', 'LEADER_FIRST_NAME', 'LEADER_SECOND_NAME', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM-PLACE']"
The TEAM-PLACE TEAM-NAME face off against the NEXT-OPPONENT-TEAM back home in TEAM-PLACE on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'NEXT-OPPONENT-TEAM', 'TEAM-PLACE', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME have TEAM-WINS days off before The TEAM-PLACE TEAM-NAME go on the road to NEXT-CITY to face the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-PLACE', 'TEAM-NAME', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME will host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME The TEAM-PLACE TEAM-NAME will host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-PLACE', 'TEAM-NAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
the TEAM-PLACE TEAM-NAME ( TEAM-PTS_QTR2 - TEAM-LOSSES ) now hold the 4 spot in the TEAM-CONFERENCE . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-PTS_QTR2', 'TEAM-LOSSES', 'TEAM-CONFERENCE']"
"A tough test now awaits the TEAM-NAME , who take on the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ","['TEAM-NAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-NAME will return to action NEXT-DAYNAME against the NEXT-OPPONENT-TEAM in NEXT-CITY . ,"['TEAM-NAME', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM', 'NEXT-CITY']"
TEAM-PLACE is STREAK-COUNT - TEAM-STANDING against the East-leading TEAM-NAME this season . ,"['TEAM-PLACE', 'STREAK-COUNT', 'TEAM-STANDING', 'TEAM-NAME']"
The TEAM-NAME The TEAM-NAME play The TEAM-NAME 2 game in as many days then The TEAM-NAME travel to take on the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-NAME', 'TEAM-NAME', 'TEAM-NAME', 'TEAM-NAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-NAME were led by LEADER_FIRST_NAME LEADER_SECOND_NAME . ,"['TEAM-NAME', 'LEADER_FIRST_NAME', 'LEADER_SECOND_NAME']"
TEAM-PLACE will play NEXT-OPPONENT-TEAM-PLACE in the TEAM-FG3M game of their home stand on NEXT-DAYNAME . ,"['TEAM-PLACE', 'NEXT-OPPONENT-TEAM-PLACE', 'TEAM-FG3M', 'NEXT-DAYNAME']"
the TEAM-NAME the TEAM-NAME will return to action NEXT-DAYNAME against the NEXT-OPPONENT-TEAM . ,"['TEAM-NAME', 'TEAM-NAME', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM']"
the TEAM-NAME will return to action NEXT-DAYNAME when the TEAM-NAME host the NEXT-OPPONENT-TEAM . ,"['TEAM-NAME', 'NEXT-DAYNAME', 'TEAM-NAME', 'NEXT-OPPONENT-TEAM']"
the TEAM-NAME now head back to TEAM-PLACE to host the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-NAME', 'TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-NAME ' The TEAM-NAME ' will return to action NEXT-DAYNAME against the NEXT-OPPONENT-TEAM . ,"['TEAM-NAME', 'TEAM-NAME', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM']"
TEAM-PLACE will go on the road to play the NEXT-CITY NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME received The TEAM-PLACE TEAM-NAME biggest contributions from The TEAM-PLACE TEAM-NAME bench in this game . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-PLACE', 'TEAM-NAME', 'TEAM-PLACE', 'TEAM-NAME']"
It 's unlikely Darren Collison 'll play NEXT-DAYNAME against the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM . ,"['NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM']"
The TEAM-NAME will host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-NAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
TEAM-PLACE will host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME for the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM next game . ,"['TEAM-PLACE', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM']"
The TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-FG3M ) will embark on a TEAM-FG3M - game road trip NEXT-DAYNAME that begins in NEXT-CITY against the NEXT-OPPONENT-TEAM . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-FG3M', 'TEAM-FG3M', 'NEXT-DAYNAME', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM']"
the TEAM-NAME will finish off the TEAM-NAME back - to - back set in NEXT-CITY on NEXT-DAYNAME against the NEXT-OPPONENT-TEAM . ,"['TEAM-NAME', 'TEAM-NAME', 'NEXT-CITY', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM']"
"Up next , the TEAM-NAME take on NEXT-OPPONENT-TEAM-PLACE on NEXT-DAYNAME . ","['TEAM-NAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME play The TEAM-PLACE TEAM-NAME 4 straight home game when The TEAM-PLACE TEAM-NAME face the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-PLACE', 'TEAM-NAME', 'TEAM-PLACE', 'TEAM-NAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
TEAM-PLACE 'll go on to NEXT-CITY to finish off TEAM-PLACE back - to - back set against the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'NEXT-CITY', 'TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
TEAM-PLACE will return home to host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
the TEAM-NAME the TEAM-NAME really struggled to score without Carmelo Anthony and Amare Stoudemire . ,"['TEAM-NAME', 'TEAM-NAME']"
The TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-LOSSES ) will take on the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME in a matchup with the recently departed Norris Cole . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-LOSSES', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM will host the TEAM-NAME on NEXT-DAYNAME . ,"['NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'TEAM-NAME', 'NEXT-DAYNAME']"
the TEAM-NAME ' saw a ton of production from the TEAM-NAME ' bench  . ,"['TEAM-NAME', 'TEAM-NAME', '']"
"Up next , TEAM-PLACE begins a home - in - home with the NEXT-OPPONENT-TEAM in NEXT-STATE on NEXT-DAYNAME . ","['TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-STATE', 'NEXT-DAYNAME']"
"Up next , The TEAM-NAME hit the road against the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ","['TEAM-NAME', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-NAME The TEAM-NAME will play the NEXT-OPPONENT-TEAM in NEXT-STATE on NEXT-DAYNAME . ,"['TEAM-NAME', 'TEAM-NAME', 'NEXT-OPPONENT-TEAM', 'NEXT-STATE', 'NEXT-DAYNAME']"
"The TEAM-PLACE TEAM-NAME proved to be too much to handle for the TEAM-PLACE TEAM-NAME  night at the America Airlines Center , winning TEAM-PTS - TEAM-PTS . ","['TEAM-PLACE', 'TEAM-NAME', 'TEAM-PLACE', 'TEAM-NAME', '', 'TEAM-PTS', 'TEAM-PTS']"
"Up next , the TEAM-NAME host the NEXT-OPPONENT-TEAM on NEXT-DAYNAME night . ","['TEAM-NAME', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
"Up next , the TEAM-NAME ( TEAM-WINS - TEAM-LOSSES ) faces the NEXT-OPPONENT-TEAM on NEXT-DAYNAME night . ","['TEAM-NAME', 'TEAM-WINS', 'TEAM-LOSSES', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-PTS_QTR4 ) will try to keep the good times rolling when The TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-PTS_QTR4 ) host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-PTS_QTR4', 'TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-PTS_QTR4', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
the TEAM-NAME will travel to NEXT-CITY to take on the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-NAME', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
March has been a bad month for The TEAM-NAME . ,['TEAM-NAME']
"The TEAM-NAME host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME , the 2 night of a back - to - back . ","['TEAM-NAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-NAME ' next game will be on the road against the NEXT-STATE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-NAME', 'NEXT-STATE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
TEAM-PLACE will travel to NEXT-OPPONENT-TEAM-PLACE to take on the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-NAME are slipping fast . ,['TEAM-NAME']
the TEAM-PLACE TEAM-NAME ( TEAM-FTM - TEAM-LOSSES ) have STREAK-COUNT days off before hosting the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-FTM', 'TEAM-LOSSES', 'STREAK-COUNT', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-NAME The TEAM-NAME will continue The TEAM-NAME road trip NEXT-DAYNAME against the NEXT-CITY NEXT-OPPONENT-TEAM . ,"['TEAM-NAME', 'TEAM-NAME', 'TEAM-NAME', 'NEXT-DAYNAME', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM']"
TEAM-PLACE returns to action NEXT-DAYNAME in NEXT-CITY . ,"['TEAM-PLACE', 'NEXT-DAYNAME', 'NEXT-CITY']"
the TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-FG_PCT ) will look to bounce back NEXT-DAYNAME against the NEXT-OPPONENT-TEAM before a crucial matchup with the NEXT-OPPONENT-TEAM on Tuesday . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-FG_PCT', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM', 'NEXT-OPPONENT-TEAM']"
"the New Orleans Pelicans play the Houston Rockets on  as well , so the New Orleans Pelicans could extend the New Orleans Pelicans lead to a full game . ",['']
TEAM-PLACE will finish wrap up the regular season NEXT-DAYNAME in NEXT-CITY . ,"['TEAM-PLACE', 'NEXT-DAYNAME', 'NEXT-CITY']"
The TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-PTS_QTR4 ) will return to action Feb. TEAM-FG3A against the NEXT-OPPONENT-TEAM in NEXT-CITY . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-PTS_QTR4', 'TEAM-FG3A', 'NEXT-OPPONENT-TEAM', 'NEXT-CITY']"
"Up next , the TEAM-NAME host the NEXT-OPPONENT-TEAM at The  on NEXT-DAYNAME . ","['TEAM-NAME', 'NEXT-OPPONENT-TEAM', '', 'NEXT-DAYNAME']"
"Up next , the TEAM-NAME head to NEXT-STATE to take on the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ","['TEAM-NAME', 'NEXT-STATE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-NAME did n't sell the TEAM-NAME ' the TEAM-NAME ' any buckets . ,"['TEAM-NAME', 'TEAM-NAME', 'TEAM-NAME']"
TEAM-PLACE draws a matchup in NEXT-OPPONENT-TEAM-PLACE on NEXT-DAYNAME before hosting Charlotte on Tuesday . ,"['TEAM-PLACE', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-LOSSES ) will now head back home and take on the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME night . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-LOSSES', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
TEAM-PLACE will finish up The TEAM-PLACE TEAM-NAME road trip on NEXT-DAYNAME against the NEXT-CITY NEXT-OPPONENT-TEAM . ,"['TEAM-PLACE', 'TEAM-PLACE', 'TEAM-NAME', 'NEXT-DAYNAME', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM']"
The TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-PTS_QTR1 ) will return to the floor NEXT-DAYNAME to take on the NEXT-OPPONENT-TEAM . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-PTS_QTR1', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM']"
TEAM-PLACE will return home to play the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
"Up next , TEAM-PLACE continues TEAM-PLACE road trip in NEXT-CITY on NEXT-DAYNAME . ","['TEAM-PLACE', 'TEAM-PLACE', 'NEXT-CITY', 'NEXT-DAYNAME']"
"Up next , the TEAM-NAME host the NEXT-OPPONENT-TEAM on NEXT-DAYNAME night . ","['TEAM-NAME', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
TEAM-PLACE will resume TEAM-PLACE road trip NEXT-DAYNAME in NEXT-CITY . ,"['TEAM-PLACE', 'TEAM-PLACE', 'NEXT-DAYNAME', 'NEXT-CITY']"
Houston has now overtaken TEAM-PLACE for the 2 seed in the West . ,['TEAM-PLACE']
the TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-PTS_QTR3 ) will look to bounce back NEXT-DAYNAME when the TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-PTS_QTR3 ) host the NEXT-OPPONENT-TEAM . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-PTS_QTR3', 'NEXT-DAYNAME', 'TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-PTS_QTR3', 'NEXT-OPPONENT-TEAM']"
TEAM-PLACE now heads to NEXT-CITY to take on the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME continue The TEAM-PLACE TEAM-NAME road trip NEXT-DAYNAME in NEXT-CITY against the NEXT-OPPONENT-TEAM . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-PLACE', 'TEAM-NAME', 'NEXT-DAYNAME', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM']"
The TEAM-PLACE TEAM-NAME will go on the road to the play the NEXT-STATE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'NEXT-STATE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
"Up next , the TEAM-NAME continue the TEAM-NAME road swing in NEXT-CITY on NEXT-DAYNAME . ","['TEAM-NAME', 'TEAM-NAME', 'NEXT-CITY', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME The TEAM-PLACE TEAM-NAME have now moved into the TEAM-STANDING spot in the TEAM-CONFERENCE . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-PLACE', 'TEAM-NAME', 'TEAM-STANDING', 'TEAM-CONFERENCE']"
"Up next , TEAM-PLACE travels to NEXT-CITY to take on the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ","['TEAM-PLACE', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
"Up next , the TEAM-NAME host the NEXT-OPPONENT-TEAM on NEXT-DAYNAME night . ","['TEAM-NAME', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
the TEAM-NAME will head to NEXT-CITY to face the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-NAME', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
TEAM-PLACE will have TEAM-STANDING days off before hosting NEXT-OPPONENT-TEAM-PLACE on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-STANDING', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-DAYNAME']"
"TEAM-PLACE dropped all TEAM-LOSSES games on the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM short TEAM-CONFERENCE roadtrip , and the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM 'll head home to host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ","['TEAM-PLACE', 'TEAM-LOSSES', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'TEAM-CONFERENCE', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-LOSSES ) 'll travel to NEXT-CITY to play the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-LOSSES', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
TEAM-PLACE will host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-PLACE TEAM-NAME will stay home to host the NEXT-OPPONENT-TEAM-PLACE NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'NEXT-OPPONENT-TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
TEAM-PLACE gets another top team in the West on NEXT-DAYNAME when NEXT-OPPONENT-TEAM-PLACE comes to town . ,"['TEAM-PLACE', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM-PLACE']"
TEAM-PLACE will return to action NEXT-DAYNAME against NEXT-OPPONENT-TEAM-PLACE . ,"['TEAM-PLACE', 'NEXT-DAYNAME', 'NEXT-OPPONENT-TEAM-PLACE']"
"Up next , the TEAM-NAME head to NEXT-CITY to face the NEXT-OPPONENT-TEAM on NEXT-DAYNAME night . ","['TEAM-NAME', 'NEXT-CITY', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
"Up next , TEAM-PLACE returns home to host the NEXT-OPPONENT-TEAM on NEXT-DAYNAME night . ","['TEAM-PLACE', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
the TEAM-PLACE TEAM-NAME ( TEAM-WINS - TEAM-FGM ) will return home to face the NEXT-OPPONENT-TEAM on NEXT-DAYNAME . ,"['TEAM-PLACE', 'TEAM-NAME', 'TEAM-WINS', 'TEAM-FGM', 'NEXT-OPPONENT-TEAM', 'NEXT-DAYNAME']"
The TEAM-NAME The TEAM-NAME move on to face the NEXT-OPPONENT-TEAM in NEXT-CITY on NEXT-DAYNAME . ,"['TEAM-NAME', 'TEAM-NAME', 'NEXT-OPPONENT-TEAM', 'NEXT-CITY', 'NEXT-DAYNAME']"
