templates,used_attributes
"It was FIRST_NAME SECOND_NAME DD_AVG double - double of the season , while FIRST_NAME SECOND_NAME 's averaged 25 points and FGM rebounds per game over FIRST_NAME SECOND_NAME 15 STL matchups . ","['FIRST_NAME', 'SECOND_NAME', 'AST', 'DD_AVG', 'FIRST_NAME', 'SECOND_NAME', 'FGM', 'FIRST_NAME', 'SECOND_NAME', 'STL']"
"FIRST_NAME SECOND_NAME went REB_AVG - for - FTA from the field and STL - for - DREB from the STL - point line to score 15 points , while adding FG3A assists as well . ","['FIRST_NAME', 'SECOND_NAME', 'OREB', 'REB_AVG', 'FTA', 'STL', 'DREB', 'STL', 'FG3A']"
"FIRST_NAME SECOND_NAME 's now scored 20 or more points in REB_AVG out of FIRST_NAME SECOND_NAME 15 REB games , as FIRST_NAME SECOND_NAME 's the clear scoring leader for this struggling PLAYER-TEAM-NAME team . ","['FIRST_NAME', 'SECOND_NAME', 'REB_AVG', 'FIRST_NAME', 'SECOND_NAME', 'REB', 'FIRST_NAME', 'SECOND_NAME', 'PLAYER-TEAM-NAME']"
"SECOND_NAME on the other had finished with PTS points ( FGM - FGA FG , REB - FG3A 3Pt , REB_AVG - REB_AVG FT ) and REB_AVG assists . ","['SECOND_NAME', 'PTS', 'FGM', 'FGA', 'FG3M', 'DREB', 'REB', 'FG3A', 'FTM', 'FTA', 'AST', 'PF', 'REB_AVG', 'FTM', 'FTA', 'AST', 'PF', 'REB_AVG', 'FTM', 'FTA', 'AST', 'PF', 'REB_AVG']"
"The REB_AVG asssists marked a new season - high for FIRST_NAME SECOND_NAME , as FIRST_NAME SECOND_NAME 's averaged only IS_LEADER assists per game so far this season . ","['REB_AVG', 'FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'FG3A', 'PF', 'STL_AVG', 'IS_LEADER']"
"FIRST_NAME SECOND_NAME was able to notch a double - double , contributing PTS points ( FTA - REB FG , DD_AVG - FTA FT ) and REB rebounds . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FTA', 'FGA', 'REB', 'FTM', 'DD_AVG', 'FGM', 'FTA', 'FGA', 'REB']"
FIRST_NAME SECOND_NAME moved into the starting lineup and dished out AST assists in MIN minutes of play . ,"['FIRST_NAME', 'SECOND_NAME', 'AST', 'MIN']"
SECOND_NAME scored PTS points on FGM - of - FGA shooting . ,"['SECOND_NAME', 'PTS', 'FGM', 'FGA']"
"In Michael Carter-Williams AST_AVG game in more than STL years , FIRST_NAME SECOND_NAME scored REB points in MIN minutes . ","['FG3M', 'BLK', 'STL_AVG', 'AST_AVG', 'FG3A', 'AST', 'STL', 'FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGA', 'DREB', 'REB', 'MIN']"
"Leading The PLAYER-TEAM-PLACE PLAYER-TEAM-NAME ( MIN - 22 ) was FIRST_NAME SECOND_NAME , who was nearly unstoppable in this IS_LEADER . ","['PLAYER-TEAM-PLACE', 'PLAYER-TEAM-NAME', 'MIN', 'FIRST_NAME', 'SECOND_NAME', 'FG3M', 'PF', 'STL_AVG', 'IS_LEADER']"
"With Kyle Lowry sitting out on a day of rest , FIRST_NAME SECOND_NAME started at the point , finishing with PTS points ( AST - FGA FG , REB_AVG - FG3A 3Pt ) and AST assists . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'AST', 'FGA', 'FG3M', 'REB_AVG', 'FG3A', 'FGM', 'AST']"
"He went off for 21 points ( FGM - PTS FG , PF - 9 3Pt , 7 - 7 FT ) and REB_AVG assists in MIN minutes , while FIRST_NAME SECOND_NAME added PTS points ( FGM - FGA FG , PF - REB 3Pt , AST_AVG - AST_AVG FT ) and REB rebounds in 29 minutes . ","['FGM', 'PTS', 'FG3M', 'OREB', 'DREB', 'PF', 'REB_AVG', 'MIN', 'FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'FG3M', 'OREB', 'DREB', 'PF', 'FG3A', 'REB', 'FTM', 'FTA', 'BLK', 'AST_AVG', 'FTM', 'FTA', 'BLK', 'AST_AVG', 'FG3A', 'REB']"
"Coming off the bench , FIRST_NAME SECOND_NAME finished with PTS points ( FGM - FGA FG , IS_LEADER - REB_AVG 3Pt , REB_AVG - FTA FT ) , REB rebounds and AST assists . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'FG3M', 'PF', 'IS_LEADER', 'FG3A', 'FTM', 'REB_AVG', 'FG3A', 'FTM', 'REB_AVG', 'FTA', 'DREB', 'REB', 'AST']"
"Starting at point guard , FIRST_NAME SECOND_NAME added PTS points ( FGM - FGA FG , FG3M - FG3A 3Pt ) and AST_AVG assists in MIN minutes as well . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'FG3M', 'FG3A', 'AST', 'AST_AVG', 'MIN']"
FIRST_NAME SECOND_NAME scored a game - high PTS points on FGM - of - FGA shooting and also recorded REB rebounds and AST_AVG assists in MIN minutes . ,"['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'FTM', 'REB', 'AST', 'REB_AVG', 'AST_AVG', 'MIN']"
"FIRST_NAME SECOND_NAME was the only other member of PLAYER-TEAM-PLACE to score in double figures , putting up PTS points on REB - of - PTS_AVG shooting in MIN minutes off the bench . ","['FIRST_NAME', 'SECOND_NAME', 'PLAYER-TEAM-PLACE', 'PTS', 'FGM', 'FTM', 'DREB', 'REB', 'FGA', 'PTS_AVG', 'MIN']"
"FIRST_NAME SECOND_NAME led the PLAYER-TEAM-NAME in scoring for the REB_AVG game in a row , recording PTS points on FGM - of - FGA shooting to go along with AST assists in MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'PLAYER-TEAM-NAME', 'DREB', 'REB', 'PF', 'REB_AVG', 'PTS', 'FGM', 'FGA', 'FG3M', 'AST', 'MIN']"
"FIRST_NAME SECOND_NAME had a double - double , putting up DD_AVG points on PF - of - FGA shooting and REB rebounds in MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'DD_AVG', 'FGM', 'OREB', 'PF', 'FGA', 'REB', 'MIN']"
FIRST_NAME SECOND_NAME also had STL steals . ,"['FIRST_NAME', 'SECOND_NAME', 'DREB', 'STL']"
"FIRST_NAME SECOND_NAME also recorded a double - double , recording PTS points and a team - high REB rebounds in just MIN minutes of play . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'REB', 'MIN']"
"FIRST_NAME SECOND_NAME also struggled , following up 29 - point performance Wednesday with IS_LEADER points on IS_LEADER - of - FGA shooting Friday . ","['FIRST_NAME', 'SECOND_NAME', 'STARTER', 'PTS', 'FGM', 'FG_PCT', 'FG3M', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'TO', 'STL', 'BLK', 'IS_HOME', 'STL_AVG', 'BLK_AVG', 'DOUBLE_DOUBLE', 'DD_AVG', 'IS_LEADER', 'STARTER', 'PTS', 'FGM', 'FG_PCT', 'FG3M', 'FG3_PCT', 'FTM', 'FTA', 'FT_PCT', 'OREB', 'TO', 'STL', 'BLK', 'IS_HOME', 'STL_AVG', 'BLK_AVG', 'DOUBLE_DOUBLE', 'DD_AVG', 'IS_LEADER', 'FGA']"
"FIRST_NAME SECOND_NAME led the way , scoring PTS points ( FGM - FGA FG , FG3M - PTS_AVG 3Pt , PF - STL FT ) , to go along with PF assists and STL steals . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'FG3M', 'FG3A', 'PTS_AVG', 'FTM', 'DREB', 'REB', 'AST', 'PF', 'FTA', 'STL', 'FTM', 'DREB', 'REB', 'AST', 'PF', 'FTA', 'STL']"
"It was the most points FIRST_NAME SECOND_NAME 's scored since the beginning of February , as FIRST_NAME SECOND_NAME matched a season - high in hitting FG3M STL - point shots. ","['FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'FG3M', 'FTA', 'STL']"
"rookie FIRST_NAME SECOND_NAME went PTS_AVG - for - FGA from the field to score PTS points , while also adding REB_AVG steals and PF blocked shots in MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'FGM', 'PTS_AVG', 'FGA', 'PTS', 'FG3A', 'DREB', 'REB', 'STL', 'REB_AVG', 'BLK', 'PF', 'MIN']"
"rookie FIRST_NAME SECOND_NAME had gone a combined AST - for - FGA from the field over rookie FIRST_NAME SECOND_NAME 15 REB_AVG games , so it was good to see rookie FIRST_NAME SECOND_NAME get things turned around . ","['FIRST_NAME', 'SECOND_NAME', 'AST', 'FGA', 'FIRST_NAME', 'SECOND_NAME', 'FG3A', 'DREB', 'REB', 'STL', 'REB_AVG', 'FIRST_NAME', 'SECOND_NAME']"
"FIRST_NAME SECOND_NAME added PTS points ( FGM - FGA FG , IS_LEADER - PF 3Pt , AST_AVG - FTA FT ) , REB rebounds and AST assists off the bench as well . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'STARTER', 'FG3M', 'FG3_PCT', 'OREB', 'TO', 'BLK', 'IS_HOME', 'STL_AVG', 'BLK_AVG', 'DOUBLE_DOUBLE', 'DD_AVG', 'IS_LEADER', 'FG3A', 'PF', 'FTM', 'AST_AVG', 'FTA', 'DREB', 'REB', 'AST']"
"Despite taking the loss , FIRST_NAME SECOND_NAME had FIRST_NAME SECOND_NAME a monster game . ","['FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME']"
"FIRST_NAME SECOND_NAME went REB_AVG - for - REB from the field and DREB - for - FTA from the free throw line to score a game - high of PTS points , while also grabbing REB rebounds in the process . ","['FIRST_NAME', 'SECOND_NAME', 'FGM', 'REB_AVG', 'FGA', 'REB', 'FTM', 'DREB', 'FTA', 'PTS', 'FGA', 'REB']"
"In MIN minutes on the court , FIRST_NAME SECOND_NAME finished with PTS points ( FGM - FGA FG , STL_AVG - REB_AVG 3Pt , FTM - FTA FT ) and REB rebounds . ","['MIN', 'FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'FG3M', 'OREB', 'STL', 'BLK', 'STL_AVG', 'FG3A', 'REB_AVG', 'FTM', 'FTA', 'REB']"
"Like FIRST_NAME SECOND_NAME , FIRST_NAME SECOND_NAME 's played extremely well over FIRST_NAME SECOND_NAME DREB 5 games , averaging 28 points during that span , while shooting over DD_AVG percent in each of those matchups as well. ","['FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'FTM', 'DREB', 'MIN', 'DD_AVG']"
"The only other King in double figures was FIRST_NAME SECOND_NAME , who came off the bench for PTS points ( FG3A - FGA FG , REB_AVG - FG3A 3Pt , REB - FTA FT ) and REB rebounds in MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FG3A', 'FGA', 'FG3M', 'OREB', 'REB_AVG', 'FGM', 'FG3A', 'FTM', 'REB', 'FTA', 'FTM', 'REB', 'MIN']"
"FIRST_NAME SECOND_NAME scored FIRST_NAME SECOND_NAME most points as a Net , recording PTS on FGA shots and hit a 3 - pointer for the 11 straight game , a career - high . ","['FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGA']"
"FIRST_NAME SECOND_NAME thrived in the role , recording PTS points on FGM - of - FGA shooting , PTS_AVG assists and STL steals in MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'AST', 'PTS_AVG', 'FTM', 'STL', 'MIN']"
"FIRST_NAME SECOND_NAME struggled coming off the bench , putting up just PTS points on REB_AVG - of - FGA shooting and AST assists in MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FG3M', 'REB_AVG', 'FGA', 'FTA', 'AST', 'MIN']"
"FIRST_NAME SECOND_NAME shot FIRST_NAME SECOND_NAME way out of a slump , scoring 15 points on DREB - of - FGA shooting in MIN minutes , as it was just the AST_AVG time in REB games that FIRST_NAME SECOND_NAME scored in double figures . ","['FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'FGM', 'FTA', 'DREB', 'FGA', 'MIN', 'OREB', 'STL', 'AST_AVG', 'FG3A', 'REB', 'FIRST_NAME', 'SECOND_NAME']"
"FIRST_NAME SECOND_NAME was great in replacing Wall in the starting lineup , posting PTS points ( FGM - PTS_AVG FG , AST_AVG - AST_AVG 3Pt , PTS_AVG - FTA FT ) , PTS_AVG assists and REB rebounds in MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'FTM', 'AST', 'PTS_AVG', 'FG3M', 'FG3A', 'REB_AVG', 'AST_AVG', 'FG3M', 'FG3A', 'REB_AVG', 'AST_AVG', 'FGA', 'FTM', 'AST', 'PTS_AVG', 'FTA', 'FGA', 'FTM', 'AST', 'PTS_AVG', 'REB', 'MIN']"
"FIRST_NAME SECOND_NAME also had an efficient performance , scoring PTS points ( FGM - FGA FG , FG3M - PTS_AVG 3Pt ) in MIN minutes off the bench . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'FG3M', 'FG3A', 'PTS_AVG', 'MIN']"
"FIRST_NAME SECOND_NAME scored PTS points and was the only other 76er to score in double figures , but FIRST_NAME SECOND_NAME also added REB rebounds to give FIRST_NAME SECOND_NAME a double - double on the night . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FIRST_NAME', 'SECOND_NAME', 'FGA', 'REB', 'FIRST_NAME', 'SECOND_NAME']"
"The game did get somewhat chippy towards the end though , as both FIRST_NAME SECOND_NAME and O.J . ","['FIRST_NAME', 'SECOND_NAME']"
"FIRST_NAME SECOND_NAME had another strong showing , finishing with MIN points ( PTS_AVG - FGA FG , FTM - FTA FT ) , AST_AVG rebounds , AST_AVG assists and PF steals . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'MIN', 'FGM', 'PTS_AVG', 'FGA', 'FTM', 'FTA', 'DREB', 'REB', 'AST', 'AST_AVG', 'DREB', 'REB', 'AST', 'AST_AVG', 'STL', 'PF']"
"Over FIRST_NAME SECOND_NAME 15 REB_AVG games , FIRST_NAME SECOND_NAME 's averaged 23 points , 6 assists and PF steals , so The PLAYER-TEAM-PLACE PLAYER-TEAM-NAME ( 41 - 40 ) The PLAYER-TEAM-PLACE PLAYER-TEAM-NAME ( 41 - 40 ) would love to see FIRST_NAME SECOND_NAME stay this hot going into The PLAYER-TEAM-PLACE PLAYER-TEAM-NAME ( 41 - 40 ) playoff series with either the Toronto Raptors or Chicago Bulls . ","['FIRST_NAME', 'SECOND_NAME', 'REB_AVG', 'FIRST_NAME', 'SECOND_NAME', 'STL', 'PF', 'PLAYER-TEAM-PLACE', 'PLAYER-TEAM-NAME', 'PLAYER-TEAM-PLACE', 'PLAYER-TEAM-NAME', 'FIRST_NAME', 'SECOND_NAME', 'PLAYER-TEAM-PLACE', 'PLAYER-TEAM-NAME']"
"FIRST_NAME SECOND_NAME had a solid overall game as well , recording PTS_AVG points ( AST - FGA FG , REB_AVG - FTA FT ) , REB rebounds and AST assists over MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'PTS_AVG', 'FGM', 'AST', 'FGA', 'FTM', 'DREB', 'REB_AVG', 'FTA', 'REB', 'FGM', 'AST', 'MIN']"
The only other PF players to reach double figures in points were FIRST_NAME SECOND_NAME and O.J . ,"['FG3M', 'FTA', 'DREB', 'PF', 'FIRST_NAME', 'SECOND_NAME']"
"FIRST_NAME SECOND_NAME , on the other hand , finished with PTS points ( PTS_AVG - FGA FG , OREB - FG3A 3Pt , REB_AVG - REB_AVG FT ) and REB rebounds over MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'PTS_AVG', 'FGA', 'FG3M', 'OREB', 'FG3A', 'FTM', 'FTA', 'REB_AVG', 'FTM', 'FTA', 'REB_AVG', 'REB', 'MIN']"
FIRST_NAME SECOND_NAME led the way with PTS points and REB rebounds before fouling out after MIN minutes of play . ,"['FIRST_NAME', 'SECOND_NAME', 'PTS', 'REB', 'MIN']"
FIRST_NAME SECOND_NAME led all scorers with PTS points to go with AST_AVG assists and REB_AVG rebounds . ,"['FIRST_NAME', 'SECOND_NAME', 'PTS', 'AST', 'AST_AVG', 'FG3A', 'FTA', 'DREB', 'REB', 'REB_AVG']"
FIRST_NAME SECOND_NAME had just PTS points on DREB - of - PTS_AVG shooting . ,"['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'DREB', 'FGA', 'PTS_AVG']"
"Despite the loss , the PLAYER-TEAM-NAME were led by a double - double from center FIRST_NAME SECOND_NAME who scored PTS points and grabbed REB rebounds in MIN minutes . ","['PLAYER-TEAM-NAME', 'FIRST_NAME', 'SECOND_NAME', 'PTS', 'REB', 'MIN']"
FIRST_NAME SECOND_NAME has now recorded 10 or more rebounds in an impressive 11 of 14 games this season . ,"['FIRST_NAME', 'SECOND_NAME']"
"FIRST_NAME SECOND_NAME came AST_AVG rebounds shy of FIRST_NAME SECOND_NAME own double - double , and FIRST_NAME SECOND_NAME finished the game with PTS points and REB_AVG rebounds . ","['FIRST_NAME', 'SECOND_NAME', 'FTA', 'AST_AVG', 'FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'PTS', 'REB', 'REB_AVG']"
SECOND_NAME was the starter at point guard . ,['SECOND_NAME']
"SECOND_NAME shot FGM - for - FGA from the field and STL - for - STL from the AST_AVG - point line to score FGA points , while handing out AST assists . ","['SECOND_NAME', 'FGM', 'PTS', 'FGA', 'FG3M', 'FG3A', 'STL', 'FG3M', 'FG3A', 'STL', 'PF', 'AST_AVG', 'PTS', 'FGA', 'AST']"
"After a double - overtime thriller against the Chicago Bulls on Tuesday where FIRST_NAME SECOND_NAME scored 38 points , FIRST_NAME SECOND_NAME led the team in scoring PTS points ( FGM - FGA FG , DD_AVG - PF 3Pt , IS_LEADER - IS_LEADER FT ) to go with AST assists and PF steals . ","['FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'STARTER', 'FG3M', 'FG3_PCT', 'OREB', 'TO', 'IS_HOME', 'BLK_AVG', 'DOUBLE_DOUBLE', 'DD_AVG', 'FG3A', 'STL', 'PF', 'FTM', 'FTA', 'BLK', 'STL_AVG', 'IS_LEADER', 'FTM', 'FTA', 'BLK', 'STL_AVG', 'IS_LEADER', 'AST', 'FG3A', 'STL', 'PF']"
No bucket was bigger than FIRST_NAME SECOND_NAME fadeaway game - winner though . ,"['FIRST_NAME', 'SECOND_NAME']"
"FIRST_NAME SECOND_NAME has been on fire lately , but FIRST_NAME SECOND_NAME got plenty of help on Wednesday , as 6 players scored in double figures . ","['FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME']"
"FIRST_NAME SECOND_NAME scored PTS points ( FGM - REB_AVG FG , FTM - FTA FT ) to go with REB rebounds . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'PTS_AVG', 'REB_AVG', 'FTM', 'FTA', 'REB']"
"PLAYER-TEAM-PLACE got an impressive PTS points from FIRST_NAME SECOND_NAME ( FGM - FGA FG , PF - AST_AVG 3Pt , FTA - FTA FT ) , who also put up REB rebounds , AST_AVG assists and REB_AVG steals . ","['PLAYER-TEAM-PLACE', 'PTS', 'FIRST_NAME', 'SECOND_NAME', 'FGM', 'FGA', 'FG3M', 'OREB', 'PF', 'FG3A', 'AST', 'AST_AVG', 'FTM', 'FTA', 'FTM', 'FTA', 'REB', 'FG3A', 'AST', 'AST_AVG', 'DREB', 'STL', 'REB_AVG']"
"FIRST_NAME SECOND_NAME led the bench with MIN minutes played , and produced nicely , adding PTS points ( REB - FGA FG , AST_AVG - AST_AVG 3Pt , FTM - FTA FT ) to go with REB rebounds , STL steals and AST_AVG block . ","['FIRST_NAME', 'SECOND_NAME', 'MIN', 'PTS', 'FGM', 'REB', 'FGA', 'FG3M', 'FG3A', 'BLK', 'STL_AVG', 'AST_AVG', 'FG3M', 'FG3A', 'BLK', 'STL_AVG', 'AST_AVG', 'FTM', 'FTA', 'FGM', 'REB', 'OREB', 'STL', 'FG3M', 'FG3A', 'BLK', 'STL_AVG', 'AST_AVG']"
FIRST_NAME SECOND_NAME led the bench with PTS points in MIN minutes . ,"['FIRST_NAME', 'SECOND_NAME', 'PTS', 'MIN']"
"FIRST_NAME SECOND_NAME scored a team - high PTS points , and The PLAYER-TEAM-PLACE PLAYER-TEAM-NAME ( 12 - 12 ) had FGM players finish in double figures . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'PLAYER-TEAM-PLACE', 'PLAYER-TEAM-NAME', 'FGM']"
FIRST_NAME SECOND_NAME returned from a 17 - game absence with an Achilles injury to play MIN minutes off the bench . ,"['FIRST_NAME', 'SECOND_NAME', 'MIN']"
"FIRST_NAME SECOND_NAME led with the way Tuesday , putting up a team - high PTS points in MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'MIN']"
"FIRST_NAME SECOND_NAME tried FIRST_NAME SECOND_NAME best to keep the PLAYER-TEAM-NAME in a position to win , putting up a game - high MIN points in MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'PLAYER-TEAM-NAME', 'PTS', 'MIN', 'PTS', 'MIN']"
"FIRST_NAME SECOND_NAME went FTA - for - FGA from the field and a perfect FTA - for - FTA from the free throw line to score PTS points , while also adding REB rebounds . ","['FIRST_NAME', 'SECOND_NAME', 'FGM', 'FTM', 'FTA', 'FGA', 'FGM', 'FTM', 'FTA', 'FGM', 'FTM', 'FTA', 'PTS', 'REB']"
"FIRST_NAME SECOND_NAME is only averaging FGA points so far this season , so it was good to see FIRST_NAME SECOND_NAME heat up a little bit against a mostly inexperienced PLAYER-OPPONENT-TEAM-NAME front line . ","['FIRST_NAME', 'SECOND_NAME', 'FGA', 'FIRST_NAME', 'SECOND_NAME', 'PLAYER-OPPONENT-TEAM-NAME']"
SECOND_NAME went PTS_AVG - for - FGA from the field and FG3M - for - FG3A from the 3 - point line to score PTS points in MIN minutes . ,"['SECOND_NAME', 'FGM', 'PTS_AVG', 'FGA', 'FG3M', 'FG3A', 'PTS', 'MIN']"
"FIRST_NAME SECOND_NAME 's now combined for 47 points over the 15 2 games , as FIRST_NAME SECOND_NAME 's taken it upon FIRST_NAME SECOND_NAME to give The PLAYER-TEAM-PLACE PLAYER-TEAM-NAME ( 13 - 21 ) another proven scorer . ","['FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'PLAYER-TEAM-PLACE', 'PLAYER-TEAM-NAME']"
"FIRST_NAME SECOND_NAME had PTS points ( FGM - PTS_AVG FG , IS_LEADER - FTA FT ) and REB rebounds in only MIN minutes . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'FGA', 'PTS_AVG', 'STARTER', 'FG3M', 'FG3A', 'FG3_PCT', 'FTM', 'FT_PCT', 'TO', 'STL', 'BLK', 'PF', 'IS_HOME', 'STL_AVG', 'BLK_AVG', 'DOUBLE_DOUBLE', 'DD_AVG', 'IS_LEADER', 'FTA', 'REB', 'MIN']"
"The only other Pacer to reach double figures in points was FIRST_NAME SECOND_NAME , who had PTS points . ","['FIRST_NAME', 'SECOND_NAME', 'PTS']"
"PLAYER-TEAM-NAME were led by FIRST_NAME SECOND_NAME , as FIRST_NAME SECOND_NAME went FGM - for - FGA from the field and REB - for - AST_AVG from the 3 - point line to score PTS points , while also adding AST assists and REB_AVG steals . ","['PLAYER-TEAM-NAME', 'FIRST_NAME', 'SECOND_NAME', 'FIRST_NAME', 'SECOND_NAME', 'FGM', 'FGA', 'FG3M', 'DREB', 'REB', 'FG3A', 'AST_AVG', 'PTS', 'AST', 'STL', 'REB_AVG']"
"SECOND_NAME finished with a double - double , posting PTS points and REB rebounds . ","['SECOND_NAME', 'PTS', 'REB']"
SECOND_NAME was only his DD_AVG double - double of the year . ,"['SECOND_NAME', 'DD_AVG']"
"Also with a double - double , FIRST_NAME SECOND_NAME came off the bench for PTS points and REB rebounds . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'REB']"
"PLAYER-TEAM-PLACE got a big game from FIRST_NAME SECOND_NAME , who posted a double - double with PTS points and REB rebounds . ","['PLAYER-TEAM-PLACE', 'FIRST_NAME', 'SECOND_NAME', 'PTS', 'FGM', 'REB']"
"FIRST_NAME SECOND_NAME scored PTS_AVG points , grabbed REB rebounds , stole the ball STL times , and added BLK_AVG block to go along with a season - high AST assists . ","['FIRST_NAME', 'SECOND_NAME', 'PTS', 'PTS_AVG', 'FGA', 'REB', 'STL', 'FG3A', 'BLK', 'PF', 'BLK_AVG', 'AST']"
